"","ID1","ID2","k0","k1","kinship"
"1","S121","S122",0.258062109675654,0.629291933436865,0.213645961802957
"2","S121","S123",0.244521043122529,0.636053598151296,0.218726078900912
"3","S121","S124",0.275939877257331,0.567466683982129,0.220163390375802
"4","S121","S125",0.29730040030828,0.5231080242097,0.220572793793435
"5","S121","S126",0.459175044334932,0.450864582670492,0.157696332164911
"6","S121","S127",0.467930652029599,0.436050054968866,0.157022160242984
"7","S121","S128",0.464388838800281,0.40503036497754,0.166547989355474
"8","S121","S129",0.455431348407073,0.454026960546058,0.158777585659949
"9","S121","S130",0.449967863084125,0.457147801909868,0.160729117980471
"10","S121","S131",0.737122614155824,0.173725245095004,0.0880073816483367
"11","S121","S132",0.713815589995699,0.26047851139941,0.0779725771522978
"12","S121","S133",0.723640123602106,0.196084295106673,0.089158864422279
"13","S121","S134",0.674327514172982,0.25036028213879,0.100246172378811
"14","S121","S135",0.662557854410845,0.279467806273225,0.0988541212262713
"15","S121","S136",0.648621681430956,0.272361472547872,0.107598791147554
"16","S121","S137",0.711157579417837,0.240262315561862,0.0843556314006161
"17","S121","S138",0.710606905870813,0.27009955345018,0.0771716587020485
"18","S121","S139",0.697331592615957,0.266340205997109,0.0847491521927446
"19","S121","S140",0.747156940423918,0.252843059576082,0.0632107648940205
"20","S121","P21213_121_S141",0.697756784349505,0.218696617756034,0.0964474533862391
"21","S121","S142",0.701446908320761,0.193288485504471,0.100954424463502
"22","S121","S143",0.680226044151748,0.266691473353357,0.0932141095857865
"23","S121","S144",0.621410643613449,0.317889104186884,0.109822402146555
"24","S121","S145",0.613563332709806,0.33114712326335,0.110431552829259
"25","S121","S146",0.639100914356592,0.317771951531931,0.101006554938721
"26","S121","S147",0.694692081577832,0.266073656487154,0.0861355450892951
"27","S121","S148",0.64037342590615,0.289823742329247,0.107357351464613
"28","S121","S149",0.675548501021631,0.280995077732399,0.0919769800560847
"29","S121","S151",0.911029984506347,0,0.0444850077468266
"30","S121","S152",0.880137210274786,0,0.059931394862607
"31","S121","S153",0.856774475544296,0,0.0716127622278522
"32","S121","S154",0.880459588360991,0,0.0597702058195044
"33","S121","S155",0.90529690395729,0,0.0473515480213552
"34","S121","S156",0.852394403812999,0,0.0738027980935007
"35","S121","S157",0.869873054064646,0,0.0650634729676768
"36","S121","S158",0.870590556455756,0,0.064704721772122
"37","S121","S159",0.878952170320246,0,0.060523914839877
"38","S122","S123",0.259287482085205,0.642303057268482,0.209780494640277
"39","S122","S124",0.281748783976565,0.606815702926553,0.207421682280079
"40","S122","S125",0.322926075126608,0.527341250582565,0.206701649791055
"41","S122","S126",0.445455188055402,0.509198053054178,0.149972892708754
"42","S122","S127",0.47761661124602,0.438954567233932,0.151453052568507
"43","S122","S128",0.456079329968778,0.45754195708463,0.157574845744454
"44","S122","S129",0.457903517126708,0.488229807227674,0.148990789629727
"45","S122","S130",0.438040093553317,0.501064154693617,0.155713914549937
"46","S122","S131",0.714723752323938,0.225206622431607,0.0863364682301293
"47","S122","S132",0.723977119483604,0.255304089515074,0.0741854178794296
"48","S122","S133",0.684001134097013,0.267450204213856,0.0911368818980293
"49","S122","S134",0.628441008858329,0.348730151141887,0.0985969577853638
"50","S122","S135",0.651804197434857,0.309112878830887,0.0968196815748498
"51","S122","S136",0.582010605723395,0.392187013143185,0.110947943852506
"52","S122","S137",0.689645037385989,0.285244322957075,0.0838664005677369
"53","S122","S138",0.639325601000027,0.360674398999973,0.0901685997499932
"54","S122","S139",0.646935034830345,0.350297533262669,0.08895809926916
"55","S122","S140",0.70797826552287,0.29202173447713,0.0730054336192826
"56","S122","P21213_121_S141",0.660067255022146,0.270277293633995,0.102397049080428
"57","S122","S142",0.667404002908751,0.279763377878694,0.0963571540759511
"58","S122","S143",0.634436176927391,0.341260781192403,0.0974667162382037
"59","S122","S144",0.615133982797757,0.334772390512306,0.108739910973045
"60","S122","S145",0.581182438267791,0.395342200595435,0.110573230717246
"61","S122","S146",0.609438888748482,0.370673694791969,0.102612131927767
"62","S122","S147",0.649759551822151,0.341820157139817,0.08966518480397
"63","S122","S148",0.610737625303291,0.355296803036531,0.105806986589222
"64","S122","S149",0.634262568078626,0.360746335892338,0.0926821319876025
"65","S122","S151",0.86931683926073,0.0783491508336317,0.045754292661227
"66","S122","S152",0.893805824854976,0.02112414706447,0.0478160508063947
"67","S122","S153",0.864745614386657,0,0.0676271928066715
"68","S122","S154",0.896113607259415,0.0163917958171827,0.0478452474159968
"69","S122","S155",0.907202105966719,0.00521342248122054,0.0450955913963352
"70","S122","S156",0.870862971354742,0,0.064568514322629
"71","S122","S157",0.871487485941766,0.0298558469823842,0.0567922952835207
"72","S122","S158",0.879778483141338,0,0.0601107584293308
"73","S122","S159",0.89424439632682,0,0.0528778018365901
"74","S123","S124",0.261887992680615,0.646956360755207,0.207316913470891
"75","S123","S125",0.28778198025626,0.572908409477358,0.21288190750253
"76","S123","S126",0.451655653458059,0.483324733206204,0.15334098996942
"77","S123","S127",0.470317944021042,0.456958449622089,0.150601415583957
"78","S123","S128",0.465872567304267,0.453684945691107,0.15364247992509
"79","S123","S129",0.441613795206775,0.513921198290455,0.150712802823999
"80","S123","S130",0.475713560969658,0.461013703136064,0.146889793731155
"81","S123","S131",0.711856530588507,0.208714476887515,0.0918931154838679
"82","S123","S132",0.685625584290393,0.296487676371628,0.0830652887618963
"83","S123","S133",0.710082944379503,0.215266016367159,0.091142023718459
"84","S123","S134",0.632810358906685,0.322389316623949,0.10299749139067
"85","S123","S135",0.627291450112455,0.343391071331447,0.100506507110911
"86","S123","S136",0.628721924373069,0.327827099469938,0.103682262945981
"87","S123","S137",0.711153076427068,0.244741020509322,0.0832382066591354
"88","S123","S138",0.662955493407505,0.337044506592495,0.0842611266481238
"89","S123","S139",0.650895542293941,0.349104457706059,0.0872761144265147
"90","S123","S140",0.719359781473572,0.280640218526428,0.0701600546316071
"91","S123","P21213_121_S141",0.656321439028176,0.306640926910097,0.0951790487583878
"92","S123","S142",0.663660884679788,0.270194018103234,0.100621053134297
"93","S123","S143",0.66038894350242,0.297948786735015,0.095318331565036
"94","S123","S144",0.616797646128485,0.3552242438063,0.102795115984182
"95","S123","S145",0.590049900145742,0.391441096067499,0.107114775910254
"96","S123","S146",0.598810400785444,0.401189599214556,0.100297399803639
"97","S123","S147",0.675745942865877,0.312307083947442,0.0840502575802008
"98","S123","S148",0.609704715193626,0.369670852864651,0.102729929187024
"99","S123","S149",0.653012541929586,0.333520857193531,0.0901135147368241
"100","S123","S151",0.884437358644996,0.0629171137766092,0.0420520422333498
"101","S123","S152",0.891087613668747,0,0.0544561931656263
"102","S123","S153",0.863544906969819,0,0.0682275465150905
"103","S123","S154",0.90073779460113,0,0.0496311026994352
"104","S123","S155",0.908708227883019,0,0.0456458860584905
"105","S123","S156",0.872047281463865,0,0.0639763592680676
"106","S123","S157",0.891837834390827,0,0.0540810828045865
"107","S123","S158",0.893914376211761,0,0.0530428118941196
